street,domain,qid,wikidata_label,description,sitelinks,km_from_ada_county,same_name_items_in_domain,other_domains,via,url,verdict__y_n_w_q,notes
South Denmark Street,country,Q35,Denmark,country in Northern Europe,369,7864,1,-,full,https://www.wikidata.org/wiki/Q35,y,
East Aruba Court,country,Q21203,Aruba,Caribbean island constituent country of the Kingdom of the Netherlands,200,5591,1,-,full,https://www.wikidata.org/wiki/Q21203,y,
North Brumby Lane,horse_breed,Q850232,Brumby,free-roaming feral horse in Australia,22,,1,-,full,https://www.wikidata.org/wiki/Q850232,y,
South Cabot Cliffs Lane,golf_course,Q78137834,Cabot Cliffs,"golf course in Nova Scotia, Canada",0,4256,1,-,full,https://www.wikidata.org/wiki/Q78137834,y,
West Tana Street,us_mountain,Q1601043,Tana,"volcano in Aleutians West Census Area, Alaska",5,4005,1,-,full,https://www.wikidata.org/wiki/Q1601043,q,"probably invented, nearby streets seem unrelated"
South Ivy Street,plant,Q26771,ivy,"ivy, evergreen climbing plant",74,,1,-,full,https://www.wikidata.org/wiki/Q26771,y,
East Ronald Reagan Drive,us_president,Q9960,Ronald Reagan,president of the United States from 1981 to 1989 and actor (1911–2004),304,,1,-,full,https://www.wikidata.org/wiki/Q9960,y,
North Techne Lane,greek_deity,Q126913652,Techne,"personification, demon (Daimon)",0,,1,-,full,https://www.wikidata.org/wiki/Q126913652,y,
West Sooty Grouse Court,bird,Q1265902,Sooty Grouse,species of bird,25,,1,-,full,https://www.wikidata.org/wiki/Q1265902,y,
South Shawnee Way,us_ethnic_group,Q253436,Shawnee,"federally recognized Native American Nation in Oklahoma, USA",44,,1,-,full,https://www.wikidata.org/wiki/Q253436,y,
West Prickly Pear Drive,plant,Q292801,Prickly pear,species of plant,11,,3,-,full,https://www.wikidata.org/wiki/Q292801,y,
North Mount Hood Avenue,us_mountain,Q275662,Mount Hood,"stratovolcano in the Cascade Volcanic Arc in Oregon, United States",43,483,2,-,full,https://www.wikidata.org/wiki/Q275662,y,
West Rifleman Court,bird,Q646366,Rifleman,species of bird,38,,2,-,full,https://www.wikidata.org/wiki/Q646366,y,
North Sable Lane,mammal,Q26423,Sable,species of marten,86,,1,-,full,https://www.wikidata.org/wiki/Q26423,y,
West Madison Avenue,us_president,Q11813,James Madison,President of the United States from 1809 to 1817 (1751–1836),176,,1,-,surname,https://www.wikidata.org/wiki/Q11813,y,
East Carnation Court,plant,Q158984,carnation,species of plant,78,,1,-,full,https://www.wikidata.org/wiki/Q158984,y,
West Snowcap Drive,bird,Q524681,Snowcap,species of bird,24,,1,-,full,https://www.wikidata.org/wiki/Q524681,y,
West Norway Street,country,Q20,Norway,country in Northern Europe,393,7547,1,-,full,https://www.wikidata.org/wiki/Q20,y,
East Jack Creek Street,us_river,Q6111879,Jack Creek,river in the United States of America,2,1683,3,-,full,https://www.wikidata.org/wiki/Q6111879,q,doesn’t say what state the river is in
West Bellevue Street,idaho_place,Q1516909,Bellevue,"city in Blaine County, Idaho, United States",40,160,1,-,full,https://www.wikidata.org/wiki/Q1516909,y,
East Geranium Street,plant,Q146118,Geranium,genus of plants,64,,1,-,full,https://www.wikidata.org/wiki/Q146118,y,
West Montana Avenue,us_state,Q1212,Montana,state of the United States of America,216,628,1,-,full,https://www.wikidata.org/wiki/Q1212,y,
West Cobalt Lake Drive,us_lake,Q5138715,Cobalt Lake,lake in United States of America,1,595,1,-,full,https://www.wikidata.org/wiki/Q5138715,q,which state is the lake in?
West Poppy Street,plant,Q146391,poppy,genus of plants,79,,1,-,full,https://www.wikidata.org/wiki/Q146391,y,
West Muirfield Drive,golf_course,Q1951987,Muirfield,"golf club in Gullane, East Lothian, Scotland, UK",10,7321,1,-,full,https://www.wikidata.org/wiki/Q1951987,y,
East Cutgrass Lane,plant,Q158961,cutgrass,genus of plants,32,,4,-,full,https://www.wikidata.org/wiki/Q158961,y,
South Saturn Way,roman_deity,Q134388,Saturn,god in ancient Roman mythology,87,,1,-,full,https://www.wikidata.org/wiki/Q134388,n,"planet, revealed by nearby street Jupiter"
South Blue Jay Place,bird,Q199758,Blue Jay,species of bird,74,,1,-,full,https://www.wikidata.org/wiki/Q199758,y,
